project_name,project_family,did_build,did_sonar_scan,quality_gate_status,cyclomatic_complexity,cognitive_complexity,technical_debt_sqale_index,code_smells,bugs,vulnerabilities,security_hotspots,duplicated_lines_density,ncloc,coverage,open_issue_count,bug_issue_count,vulnerability_issue_count,code_smell_issue_count,build_audit_exists,evaluation_audit_exists,pattern_evaluation_exists,experiment_metadata_exists,sonar_summary_exists
LCP-UML-1,UML,1,1,OK,205,37,125,25,0,0,0,0,715,0,25,0,0,25,1,1,1,1,1
LCP-UML-2,UML,1,1,OK,430,18,75,15,0,0,0,0,837,0,15,0,0,15,1,1,1,1,1
LCP-UML-3,UML,1,1,OK,520,56,130,26,0,0,0,0,1206,0,26,0,0,26,1,1,1,1,1
LCP-UML-4,UML,1,1,OK,178,38,70,14,0,0,1,0,724,0,14,0,0,14,1,1,1,1,1
LCP-UML-5,UML,1,1,OK,175,22,55,11,0,0,1,0,528,0,11,0,0,11,1,1,1,1,1
LCP-UML-6,UML,1,1,OK,449,49,65,13,0,0,0,7.2,1472,0,13,0,0,13,1,1,1,1,1
LCP-UML-7,UML,1,1,OK,391,19,55,11,0,0,0,0,836,0,11,0,0,11,1,1,1,1,1
LCP-UML-8,UML,0,0,,,,,,,,,,,,0,0,0,0,1,1,1,1,0
LCP-UML-9,UML,0,0,,,,,,,,,,,,0,0,0,0,1,1,1,1,0
LCP-Vibe-1,Vibe,0,0,,,,,,,,,,,,0,0,0,0,1,1,1,1,0
LCP-Vibe-2,Vibe,0,0,,,,,,,,,,,,0,0,0,0,1,1,1,1,0
LCP-Vibe-3,Vibe,1,1,OK,284,4,65,13,0,0,0,0,401,0,13,0,0,13,1,1,1,1,1
LCP-Vibe-4,Vibe,1,1,OK,256,12,15,4,0,0,0,0,284,0,4,0,0,4,1,1,1,1,1
LCP-Vibe-5,Vibe,0,0,,,,,,,,,,,,0,0,0,0,1,1,1,1,0
LCP-Vibe-6,Vibe,1,1,OK,326,11,115,23,0,0,1,0,455,0,23,0,0,23,1,1,1,1,1
LCP-Vibe-7,Vibe,1,1,OK,263,3,15,4,0,0,0,0,362,0,4,0,0,4,1,1,1,1,1
LCP-Vibe-8,Vibe,0,0,,,,,,,,,,,,0,0,0,0,1,1,1,1,0
LCP-Vibe-9,Vibe,1,1,OK,310,2,110,22,0,0,0,0,571,0,22,0,0,22,1,1,1,1,1
